id,artifact,segment_identity,segment_offset,analysis_linear,payload_offset,body_size,body_span,boundary_state,origin,work_queue,accepted_state,name,map_public,map_module,map_segment,source_form,source_ref,observation,tasm_proc,tasm_distance,tasm_listing_line,ghidra_contiguous,ghidra_range_count,caller_count,callee_count,evidence_basis,notes
th04-op-boundary-00000,th04-op,mz-load-module,0x0,0x10000,0x0,0x146,0x146,corroborated,compiler,exclude,excluded,_address_0,_address_0;__setenvp__,c0.ASM,_TEXT,compiler-startup,toolchain:c0.asm,ghidra+map-public,,,,true,1,0,6,target-unpacked-ghidra+candidate-map,
th04-op-boundary-0000c,th04-op,mz-load-module,0xC,0x1000C,0xC,0x0,0x0,provisional,compiler,exclude,excluded,__AHSHIFT,__AHSHIFT,c0.ASM,_TEXT,compiler-startup,toolchain:c0.asm,map-public,,,,,,,,target-unpacked-ghidra+candidate-map,TLINK public has no corresponding Ghidra function entry.
th04-op-boundary-00146,th04-op,mz-load-module,0x146,0x10146,0x146,0x13,0x13,corroborated,compiler,exclude,excluded,__cleanup,__cleanup,c0.ASM,_TEXT,compiler-startup,toolchain:c0.asm,ghidra+map-public,,,,true,1,1,1,target-unpacked-ghidra+candidate-map,
th04-op-boundary-00159,th04-op,mz-load-module,0x159,0x10159,0x159,0x1,0x1,corroborated,compiler,exclude,excluded,__checknull,__checknull,c0.ASM,_TEXT,compiler-startup,toolchain:c0.asm,ghidra+map-public,,,,true,1,1,0,target-unpacked-ghidra+candidate-map,
th04-op-boundary-0015a,th04-op,mz-load-module,0x15A,0x1015A,0x15A,0x1E,0x1E,corroborated,compiler,exclude,excluded,__terminate,__terminate,c0.ASM,_TEXT,compiler-startup,toolchain:c0.asm,ghidra+map-public,,,,true,1,1,2,target-unpacked-ghidra+candidate-map,
th04-op-boundary-00178,th04-op,mz-load-module,0x178,0x10178,0x178,0x43,0x43,provisional,compiler,exclude,excluded,FUN_1000_0178,,c0.ASM,_TEXT,compiler-startup,toolchain:c0.asm,ghidra,,,,true,1,1,0,target-unpacked-ghidra+candidate-map,Ghidra-only boundary has no TLINK public or TASM PROC at its entry.
th04-op-boundary-001bb,th04-op,mz-load-module,0x1BB,0x101BB,0x1BB,0x2D,0x2D,corroborated,compiler,exclude,excluded,__restorezero,__restorezero,c0.ASM,_TEXT,compiler-startup,toolchain:c0.asm,ghidra+map-public,,,,true,1,1,0,target-unpacked-ghidra+candidate-map,
th04-op-boundary-001e8,th04-op,mz-load-module,0x1E8,0x101E8,0x1E8,0x44,0x44,provisional,compiler,exclude,excluded,FUN_1000_01e8,,c0.ASM,_TEXT,compiler-startup,toolchain:c0.asm,ghidra,,,,true,1,1,0,target-unpacked-ghidra+candidate-map,Ghidra-only boundary has no TLINK public or TASM PROC at its entry.
th04-op-boundary-0022c,th04-op,mz-load-module,0x22C,0x1022C,0x22C,0x41,0x41,provisional,compiler,exclude,excluded,FUN_1000_022c,,c0.ASM,_TEXT,compiler-startup,toolchain:c0.asm,ghidra,,,,true,1,1,0,target-unpacked-ghidra+candidate-map,Ghidra-only boundary has no TLINK public or TASM PROC at its entry.
th04-op-boundary-0026d,th04-op,mz-load-module,0x26D,0x1026D,0x26D,0x0,0x0,provisional,compiler,exclude,excluded,DGROUP@,DGROUP@,c0.ASM,_TEXT,compiler-startup,toolchain:c0.asm,map-public,,,,,,,,target-unpacked-ghidra+candidate-map,TLINK public has no corresponding Ghidra function entry.
th04-op-boundary-0026f,th04-op,mz-load-module,0x26F,0x1026F,0x26F,0x0,0x0,provisional,compiler,exclude,excluded,__MMODEL,__MMODEL,c0.ASM,_TEXT,compiler-startup,toolchain:c0.asm,map-public,,,,,,,,target-unpacked-ghidra+candidate-map,TLINK public has no corresponding Ghidra function entry.
th04-op-boundary-00272,th04-op,mz-load-module,0x272,0x10272,0x272,0x14,0x14,provisional,library,exclude,excluded,FUN_1000_0272,,th04_op.asm,_TEXT,master-library-aggregate,candidate:th04_op.asm,ghidra,,,,true,1,1,1,target-unpacked-ghidra+candidate-map,Ghidra-only boundary has no TLINK public or TASM PROC at its entry.
th04-op-boundary-00286,th04-op,mz-load-module,0x286,0x10286,0x286,0x12D,0x12E,provisional,library,exclude,excluded,BFNT_ENTRY_PAT,BFNT_ENTRY_PAT,th04_op.asm,_TEXT,master-library-aggregate,candidate:th04_op.asm,ghidra+map-public,,,,false,2,1,4,target-unpacked-ghidra+candidate-map,Ghidra body is noncontiguous and requires control-flow reconciliation.
th04-op-boundary-003b4,th04-op,mz-load-module,0x3B4,0x103B4,0x3B4,0x22,0x22,corroborated,library,exclude,excluded,BFNT_EXTEND_HEADER_SKIP,BFNT_EXTEND_HEADER_SKIP,th04_op.asm,_TEXT,master-library-aggregate,candidate:th04_op.asm,ghidra+map-public,,,,true,1,1,0,target-unpacked-ghidra+candidate-map,
th04-op-boundary-003d6,th04-op,mz-load-module,0x3D6,0x103D6,0x3D6,0x3B,0x3B,corroborated,library,exclude,excluded,BFNT_HEADER_READ,BFNT_HEADER_READ,th04_op.asm,_TEXT,master-library-aggregate,candidate:th04_op.asm,ghidra+map-public,,,,true,1,2,0,target-unpacked-ghidra+candidate-map,
th04-op-boundary-00412,th04-op,mz-load-module,0x412,0x10412,0x412,0x5E,0x5F,provisional,library,exclude,excluded,BFNT_EXTEND_HEADER_ANALYSIS,BFNT_EXTEND_HEADER_ANALYSIS,th04_op.asm,_TEXT,master-library-aggregate,candidate:th04_op.asm,ghidra+map-public,,,,false,2,1,2,target-unpacked-ghidra+candidate-map,Ghidra body is noncontiguous and requires control-flow reconciliation.
th04-op-boundary-00476,th04-op,mz-load-module,0x476,0x10476,0x476,0x90,0x91,provisional,library,exclude,excluded,rtc_int_set,rtc_int_set,th04_op.asm,_TEXT,master-library-aggregate,candidate:th04_op.asm,ghidra+map-public+tasm-proc,rtc_int_set,near,2596,false,2,2,2,target-unpacked-ghidra+candidate-map,Ghidra body is noncontiguous and requires control-flow reconciliation.
th04-op-boundary-00507,th04-op,mz-load-module,0x507,0x10507,0x507,0x13,0x13,corroborated,library,exclude,excluded,rtc_mod,,th04_op.asm,_TEXT,master-library-aggregate,candidate:th04_op.asm,ghidra+tasm-proc,rtc_mod,near,2704,true,1,1,0,target-unpacked-ghidra+candidate-map,
