id,artifact,address,file_offset,size,boundary_state,state,name,owner_unit,source,evidence_ids,notes
th04-main-fn-1aaf2,th04-main,0x1AAF2,0xC2F2,0x1A,reviewed,exact,slowdown_frame_delay(),th04-main-slowdown-frame-delay,src/th04/main/slowdown.cpp,ev-th04-main-function-screen-strict-v2,"Target Ghidra body is contiguous (26 bytes), starts at the same local TLINK public, and lies wholly inside exact authored owner th04-main-slowdown-frame-delay."
th04-main-fn-1b3ee,th04-main,0x1B3EE,0xCBEE,0x4B,reviewed,exact,demo_load(),th04-main-module-th04-demo-cpp-b3ee,src/th04/main/modules/th04_demo.cpp,ev-th04-main-function-screen-strict-v2,"Target Ghidra body is contiguous (75 bytes), starts at the same local TLINK public, and lies wholly inside exact authored owner th04-main-module-th04-demo-cpp-b3ee."
th04-main-fn-1b439,th04-main,0x1B439,0xCC39,0x4F,reviewed,exact,demoplay(),th04-main-module-th04-demo-cpp-b3ee,src/th04/main/modules/th04_demo.cpp,ev-th04-main-function-screen-strict-v2,"Target Ghidra body is contiguous (79 bytes), starts at the same local TLINK public, and lies wholly inside exact authored owner th04-main-module-th04-demo-cpp-b3ee."
th04-main-fn-1b488,th04-main,0x1B488,0xCC88,0xA8,reviewed,exact,ems_allocate_and_preload_eyecatc(),th04-main-module-th04-ems-cpp-b488,src/th04/main/modules/th04_ems.cpp,ev-th04-main-function-screen-strict-v2,"Target Ghidra body is contiguous (168 bytes), starts at the same local TLINK public, and lies wholly inside exact authored owner th04-main-module-th04-ems-cpp-b488."
th04-main-fn-1b530,th04-main,0x1B530,0xCD30,0xE6,reviewed,exact,bomb_bg_load__ems_preload_playch(),th04-main-module-th04-ems-cpp-b488,src/th04/main/modules/th04_ems.cpp,ev-th04-main-function-screen-strict-v2,"Target Ghidra body is contiguous (230 bytes), starts at the same local TLINK public, and lies wholly inside exact authored owner th04-main-module-th04-ems-cpp-b488."
th04-main-fn-1b616,th04-main,0x1B616,0xCE16,0x6C,reviewed,exact,eyecatch_animate(),th04-main-module-th04-ems-cpp-b488,src/th04/main/modules/th04_ems.cpp,ev-th04-main-function-screen-strict-v2,"Target Ghidra body is contiguous (108 bytes), starts at the same local TLINK public, and lies wholly inside exact authored owner th04-main-module-th04-ems-cpp-b488."
th04-main-fn-1b682,th04-main,0x1B682,0xCE82,0x4F,reviewed,exact,"tile_ring_set_vo(int,int,int)",th04-main-tile-ring-set-vo,src/th04/main/exact/tile_ring_set_vo.cpp,ev-th04-main-function-screen-strict-v2,"Target Ghidra body is contiguous (79 bytes), starts at the same local TLINK public, and lies wholly inside exact authored owner th04-main-tile-ring-set-vo."
th04-main-fn-1b6d1,th04-main,0x1B6D1,0xCED1,0xCD,reviewed,exact,std_load(),th04-main-module-th04-std-cpp-b6d1,src/th04/main/modules/th04_std.cpp,ev-th04-main-function-screen-strict-v2,"Target Ghidra body is contiguous (205 bytes), starts at the same local TLINK public, and lies wholly inside exact authored owner th04-main-module-th04-std-cpp-b6d1."
th04-main-fn-1b79e,th04-main,0x1B79E,0xCF9E,0x1B,reviewed,exact,std_free(),th04-main-module-th04-std-cpp-b6d1,src/th04/main/modules/th04_std.cpp,ev-th04-main-function-screen-strict-v2,"Target Ghidra body is contiguous (27 bytes), starts at the same local TLINK public, and lies wholly inside exact authored owner th04-main-module-th04-std-cpp-b6d1."
th04-main-fn-1c64a,th04-main,0x1C64A,0xDE4A,0x4C,reviewed,exact,"circles_add_growing(int,int)",th04-main-module-th04-circle-cpp-c64a,src/th04/main/modules/th04_circle.cpp,ev-th04-main-function-screen-strict-v2,"Target Ghidra body is contiguous (76 bytes), starts at the same local TLINK public, and lies wholly inside exact authored owner th04-main-module-th04-circle-cpp-c64a."
